Snort,Time,Source,Destination,Protocol,Length,Info
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"8994  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1301 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"5988  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1166 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"902  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  5911 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"5054  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  49155 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1301  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  7676 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1166  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"5911  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"49155  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"7676  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  20000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  6510 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1022 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"20000  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  2020 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"6510  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  9618 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1875 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1022  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  5120 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"2020  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  8009 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"9618  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1783 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1875  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1123 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"5120  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"8009  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1641 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1783  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1123  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1641  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  2004 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1113  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1721 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"2004  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  1089 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1721  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  4444 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"1089  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.140,192.168.253.136,TCP,60,45782  >  2106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"4444  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0,23:38.5,192.168.253.136,192.168.253.140,TCP,60,"2106  >  45782 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
